2024-04-08 15:17:25 - INFO - Iteration: 106, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 107, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 108, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 109, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 110, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 111, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 112, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 113, Time: 0.00 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 114, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 115, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 116, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 117, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 118, Time: 0.01 seconds, Best Distance: 52693.98895298333
2024-04-08 15:17:25 - INFO - Iteration: 119, Time: 0.01 seconds, Best Distance: 52693.98895298333
2024-04-08 15:17:25 - INFO - Iteration: 120, Time: 0.01 seconds, Best Distance: 52693.98895298333
2024-04-08 15:17:25 - INFO - Iteration: 121, Time: 0.01 seconds, Best Distance: 52693.98895298333
2024-04-08 15:17:25 - INFO - Iteration: 122, Time: 0.00 seconds, Best Distance: 52693.98895298333
2024-04-08 15:17:25 - INFO - Iteration: 123, Time: 0.00 seconds, Best Distance: 52693.98895298333
2024-04-08 15:17:25 - INFO - Iteration: 124, Time: 0.00 seconds, Best Distance: 52693.98895298333
2024-04-08 15:17:25 - INFO - Iteration: 125, Time: 0.00 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 126, Time: 0.01 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 127, Time: 0.00 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 128, Time: 0.00 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 129, Time: 0.00 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 130, Time: 0.00 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 131, Time: 0.00 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 132, Time: 0.00 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 133, Time: 0.00 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 134, Time: 0.00 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 135, Time: 0.00 seconds, Best Distance: 51967.25587831082
2024-04-08 15:17:25 - INFO - Iteration: 136, Time: 0.00 seconds, Best Distance: 51967.25587831082
